unique_id,category,length_type,num_audio,n_choices,method,method_name,signal,budget,n_particles,gold_letter,selected_letter,majority_letter,preds,distinct_ratio,consensus,ess_ratio,parsed_ratio,oracle_correct,selected_correct,majority_correct,error
accent_identification_41693afa-2627-4e38-82de-f7659cd554c2,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,C,B,B,B,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_ae7c5ff4-d2bb-46d4-913b-cb32b7814154,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,D,A,A,A,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_0c8bd102-6c1c-4b35-a6b2-fc7990435618,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,A,A,A,A,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_54a482c5-7f75-4b2d-bb78-db7236d6b3cf,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,A,D,D,D,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_4f49a4b4-84ee-4a3f-887e-181688f20413,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,C,C,C,C,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_9688869e-4b2b-493f-91fd-4b40c8d7a8fe,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,C,A,A,A,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_6c2cf2e3-8f85-4be9-ac2d-d4d790706077,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,A,A,A,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_291d5a32-1c47-432b-bb6c-72a3ac9cf875,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,A,A,A,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_d97b29b9-cc92-48dd-b83e-c5ed40ff3a28,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,C,C,C,C,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_19269720-3b1b-4b1a-879e-713a4959e45c,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,B,B,B,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_ac37e943-ca4f-4d8b-87df-ffc648fb1870,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,D,A,A,A,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_bb856bbe-c24a-4f12-ad76-a7820c4a7741,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,A,A,A,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_ead3fd0e-f75c-40d6-8091-aea11aacbee8,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,B,B,B,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_c3618122-1dfc-44f1-a848-e8a81bd0f499,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,B,B,B,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_8c533b74-c588-4d52-9ef4-052a762f05c3,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,A,B,B,B,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_3eaf3ee0-29c1-4ead-81ad-a7e5e9756eaf,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,B,B,B,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_a7b3f3d2-868f-4f5b-8203-f3b939aa01fa,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,C,C,C,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_8337aef9-b21e-41e2-8f11-0092a51b9006,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,A,C,C,C,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_e9cfb1ac-bdfc-458c-9e5d-5355cf180cf0,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,D,B,B,B,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_6b394376-a8be-45ac-8569-7798d88ab926,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,B,B,B,B,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_4870a4b7-d59b-46c8-8368-a4bbf76efbcf,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,C,B,B,B,1.0,1.0,1.0,1.0,False,False,False,
accent_identification_9e2a06c3-26ed-4fa5-adc9-ea0efbd3fe05,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,A,A,A,A,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_a9147eeb-aa25-4bbe-83dd-ffdeef49d30a,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,D,D,D,D,1.0,1.0,1.0,1.0,True,True,True,
accent_identification_a099d86d-659e-4c60-8c6a-395c9757aaeb,accent_identification,le10s,1,4,10,native inline MCQ (Mellow),mean_logprob,1,1,D,B,B,B,1.0,1.0,1.0,1.0,False,False,False,
